what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342764898406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342764903531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764904500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764904750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764904937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764905109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764905281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764905421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764905578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764905750
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1342764906578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1342764908687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764911781
error,log,,,"Invalid Hierarchy Request",1342764912203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342764912218
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1342764912937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764914687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764915171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764915906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342764921796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342764922859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342764922906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342764924546
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1342764924562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342764924609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342764958921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342764972718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342764974093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764995421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1342764998703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342764999046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342765000265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342765009843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342765011781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342765021250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342765022875
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1342765055078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342765056984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342765057546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765110203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765112015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765112078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765113468
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1342765113484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765113546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765155953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342765183921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342765184484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342765219031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765223453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765224921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765224984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765226750
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1342765226765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765226828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765248453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1342765299890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765342515
